"filename", "language", "JavaScript", "PostCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\components\CppPlaygroundDialog.jsx", "JavaScript JSX", 0, 0, 66, 7, 17, 90
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\components\JavaOopUmlPlayground.jsx", "JavaScript JSX", 0, 0, 734, 27, 109, 870
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\achievements\AchievementsPage.css", "PostCSS", 0, -1, 0, 0, 0, -1
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\chat\Chat.css", "PostCSS", 0, -2, 0, 0, 0, -2
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\chat\ChatPage.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 1
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\profile\ProfilePage.jsx", "JavaScript JSX", 0, 0, 219, 1, 11, 231
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\settings\SettingsPage.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 7
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\index.css", "PostCSS", 0, 179, 0, 0, 7, 186
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\Auth.css", "PostCSS", 0, -1, 0, 0, 0, -1
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\CaesarCipherExplorer.css", "PostCSS", 0, 305, 0, 0, 46, 351
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\CaesarCipherExplorer.jsx", "JavaScript JSX", 0, 0, 197, 0, 27, 224
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\CyberLabPage.css", "PostCSS", 0, 204, 0, 0, 25, 229
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\CyberLabPage.jsx", "JavaScript JSX", 0, 0, 722, 12, 30, 764
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\DenialOfServiceLab.css", "PostCSS", 0, 224, 0, 0, 40, 264
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\DenialOfServiceLab.jsx", "JavaScript JSX", 0, 0, 238, 11, 39, 288
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\EnigmaMachine.css", "PostCSS", 0, 664, 0, 1, 95, 760
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\EnigmaMachine.jsx", "JavaScript JSX", 0, 0, 352, 18, 61, 431
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\LearningContentPage.jsx", "JavaScript JSX", 0, 0, 158, 1, 7, 166
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\LearningPage.css", "PostCSS", 0, 2, 0, 0, 0, 2
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\LearningPage.jsx", "JavaScript JSX", 0, 0, -3, 0, 0, -3
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\LearningPathPage.jsx", "JavaScript JSX", 0, 0, 57, 1, 2, 60
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\NavigationPage.css", "PostCSS", 0, 25, 0, 0, 3, 28
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\NavigationPage.jsx", "JavaScript JSX", 0, 0, 176, 4, 11, 191
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\PhilosophyLabPage.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 1
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\RSAVisualizer.css", "PostCSS", 0, 611, 0, 0, 101, 712
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\RSAVisualizer.jsx", "JavaScript JSX", 0, 0, 299, 28, 52, 379
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\VigenereCipherExplorer.css", "PostCSS", 0, 569, 0, 1, 84, 654
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\VigenereCipherExplorer.jsx", "JavaScript JSX", 0, 0, 280, 0, 26, 306
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\theme\theme.js", "JavaScript", 70, 0, 0, 0, 0, 70
"c:\mostafa\homework\Capstone Project\sophiapath-web\test_screenshot.cjs", "JavaScript", 15, 0, 0, 3, 7, 25
"c:\mostafa\homework\Capstone Project\sophiapath-web\test_screenshot.js", "JavaScript", 15, 0, 0, 3, 7, 25
"Total", "-", 100, 2779, 3504, 118, 807, 7308
