"filename", "language", "JSON", "PostCSS", "JavaScript JSX", "JavaScript", "XML", "HTML", "Markdown", "Diff", "comment", "blank", "total"
"c:\mostafa\homework\Capstone Project\sophiapath-web\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 0, 9, 19
"c:\mostafa\homework\Capstone Project\sophiapath-web\eslint.config.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"c:\mostafa\homework\Capstone Project\sophiapath-web\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\mostafa\homework\Capstone Project\sophiapath-web\local_changes.diff", "Diff", 0, 0, 0, 0, 0, 0, 0, 3618, 6, 105, 3729
"c:\mostafa\homework\Capstone Project\sophiapath-web\package-lock.json", "JSON", 4093, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4094
"c:\mostafa\homework\Capstone Project\sophiapath-web\package.json", "JSON", 42, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\mostafa\homework\Capstone Project\sophiapath-web\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\mostafa\homework\Capstone Project\sophiapath-web\scratch\gen_all_courses.js", "JavaScript", 0, 0, 0, 74, 0, 0, 0, 0, 0, 8, 82
"c:\mostafa\homework\Capstone Project\sophiapath-web\scratch\gen_mobile_dev.js", "JavaScript", 0, 0, 0, 53, 0, 0, 0, 0, 0, 6, 59
"c:\mostafa\homework\Capstone Project\sophiapath-web\scratch\inspect_exercises.cjs", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 8, 48
"c:\mostafa\homework\Capstone Project\sophiapath-web\scratch\inspect_exercises.js", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 8, 49
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\App.css", "PostCSS", 0, 193, 0, 0, 0, 0, 0, 0, 4, 36, 233
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\App.jsx", "JavaScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 2, 5, 32
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\components\CppPlaygroundDialog.jsx", "JavaScript JSX", 0, 0, 1936, 0, 0, 0, 0, 0, 93, 224, 2253
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\components\JavaOopUmlPlayground.jsx", "JavaScript JSX", 0, 0, 4546, 0, 0, 0, 0, 0, 148, 452, 5146
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\components\ScrollToTop.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\components\common\BottomNavigation.jsx", "JavaScript JSX", 0, 0, 72, 0, 0, 0, 0, 0, 0, 3, 75
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\components\course\CourseCard.jsx", "JavaScript JSX", 0, 0, 41, 0, 0, 0, 0, 0, 0, 6, 47
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\components\course\Lesson.jsx", "JavaScript JSX", 0, 0, 74, 0, 0, 0, 0, 0, 0, 9, 83
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\components\course\UmlDiagram.jsx", "JavaScript JSX", 0, 0, 173, 0, 0, 0, 0, 0, 3, 17, 193
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\components\ui\AchievementCard.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\context\AuthContext.jsx", "JavaScript JSX", 0, 0, 334, 0, 0, 0, 0, 0, 14, 51, 399
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\context\ThemeContext.jsx", "JavaScript JSX", 0, 0, 37, 0, 0, 0, 0, 0, 0, 10, 47
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\data\achievements.js", "JavaScript", 0, 0, 0, 86, 0, 0, 0, 0, 17, 2, 105
