"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\components\JavaOopUmlPlayground.jsx", "JavaScript JSX", 0, 1526, 0, 38, 140, 1704
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\context\AuthContext.jsx", "JavaScript JSX", 0, 53, 0, 0, 8, 61
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\context\ThemeContext.jsx", "JavaScript JSX", 0, 109, 0, 1, 13, 123
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\data\socialStore.js", "JavaScript", 650, 0, 0, 3, 49, 702
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\chat\Chat.css", "PostCSS", 0, 0, 74, 11, 13, 98
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\chat\ChatListPage.jsx", "JavaScript JSX", 0, 517, 0, 19, 45, 581
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\chat\ChatPage.jsx", "JavaScript JSX", 0, 769, 0, 15, 62, 846
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\chat\GroupChatPage.jsx", "JavaScript JSX", 0, 1072, 0, 22, 95, 1189
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\chat\ImageEditorModal.jsx", "JavaScript JSX", 0, 546, 0, 33, 67, 646
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\community\Community.css", "PostCSS", 0, 0, 374, 7, 58, 439
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\community\CommunityDetailPage.jsx", "JavaScript JSX", 0, 774, 0, 26, 65, 865
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\community\CommunityListPage.jsx", "JavaScript JSX", 0, 324, 0, 7, 24, 355
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\community\QuestionDetailPage.jsx", "JavaScript JSX", 0, 979, 0, 31, 81, 1091
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\settings\SettingsPage.jsx", "JavaScript JSX", 0, 155, 0, 9, 13, 177
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\AccessControlLab.css", "PostCSS", 0, 0, 291, 1, 47, 339
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\Base64Visualizer.css", "PostCSS", 0, 0, 445, 9, 68, 522
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\Base64Visualizer.jsx", "JavaScript JSX", 0, 368, 0, 18, 51, 437
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\CsrfLab.css", "PostCSS", 0, 0, 232, 1, 36, 269
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\CyberLabPage.jsx", "JavaScript JSX", 0, 195, 0, 5, 31, 231
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\DenialOfServiceLab.css", "PostCSS", 0, 0, -18, 0, -7, -25
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\DenialOfServiceLab.jsx", "JavaScript JSX", 0, 32, 0, 13, -1, 44
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\DistributedDenialOfServiceLab.css", "PostCSS", 0, 0, 224, 0, 40, 264
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\DistributedDenialOfServiceLab.jsx", "JavaScript JSX", 0, 238, 0, 11, 39, 288
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\InsiderThreatLab.css", "PostCSS", 0, 0, 267, 4, 43, 314
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\InsiderThreatLab.jsx", "JavaScript JSX", 0, 343, 0, 12, 44, 399
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\LearningContentPage.jsx", "JavaScript JSX", 0, 85, 0, 9, 14, 108
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\NavigationPage.jsx", "JavaScript JSX", 0, 27, 0, 0, 2, 29
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\QuizPage.jsx", "JavaScript JSX", 0, 140, 0, 9, 10, 159
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\RansomwareLab.css", "PostCSS", 0, 0, 276, 5, 45, 326
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\RansomwareLab.jsx", "JavaScript JSX", 0, 260, 0, 16, 29, 305
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\SocialEngineeringLab.css", "PostCSS", 0, 0, 266, 5, 43, 314
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\SocialEngineeringLab.jsx", "JavaScript JSX", 0, 310, 0, 37, 40, 387
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\SqliLab.css", "PostCSS", 0, 0, 206, 1, 31, 238
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\XORVisualizer.css", "PostCSS", 0, 0, 400, 12, 66, 478
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\XORVisualizer.jsx", "JavaScript JSX", 0, 246, 0, 15, 35, 296
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\XssLab.css", "PostCSS", 0, 0, 259, 1, 39, 299
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\theme\theme.js", "JavaScript", 33, 0, 0, 1, 3, 37
"Total", "-", 683, 9068, 3296, 407, 1481, 14935
